Nome do data point,Tempo,Valor,Processado,Comentario
uno - SP,2024-09-09 19:11:34,42.874496,42.874496,
uno - SP,2024-09-09 19:11:34,45.316096,45.316096,
uno - SP,2024-09-09 19:11:34,45.999744,45.999744,
uno - SP,2024-09-09 19:11:35,46.097408,46.097408,
uno - SP,2024-09-09 19:11:35,42.679168,42.679168,
uno - SP,2024-09-09 19:11:35,43.362816,43.362816,
uno - SP,2024-09-09 19:11:35,42.288512,42.288512,
uno - SP,2024-09-09 19:11:35,45.90208,45.90208,
uno - SP,2024-09-09 19:11:36,42.581504,42.581504,
uno - SP,2024-09-09 19:11:36,43.265152,43.265152,
uno - SP,2024-09-09 19:11:36,42.190848,42.190848,
uno - SP,2024-09-09 19:11:36,42.581504,42.581504,
uno - SP,2024-09-09 19:11:36,46.3904,46.3904,
uno - SP,2024-09-09 19:11:37,43.167488,43.167488,
uno - SP,2024-09-09 19:11:37,42.190848,42.190848,
uno - SP,2024-09-09 19:11:37,42.581504,42.581504,
uno - SP,2024-09-09 19:11:37,45.706752,45.706752,
uno - SP,2024-09-09 19:11:37,42.679168,42.679168,
uno - SP,2024-09-09 19:11:38,44.827776,44.827776,
uno - SP,2024-09-09 19:11:38,46.097408,46.097408,
uno - SP,2024-09-09 19:11:38,42.581504,42.581504,
uno - SP,2024-09-09 19:11:38,42.776832,42.776832,
uno - SP,2024-09-09 19:11:38,45.90208,45.90208,
uno - SP,2024-09-09 19:11:39,45.706752,45.706752,
uno - SP,2024-09-09 19:11:39,45.999744,45.999744,
uno - SP,2024-09-09 19:11:39,46.292736,46.292736,
uno - SP,2024-09-09 19:11:39,43.362816,43.362816,
uno - SP,2024-09-09 19:11:39,45.316096,45.316096,
uno - SP,2024-09-09 19:11:40,45.706752,45.706752,
uno - SP,2024-09-09 19:11:40,42.679168,42.679168,
uno - SP,2024-09-09 19:11:40,45.511424,45.511424,
